nombre,sede,codigo
A&G Banca Privada,Madrid,0241
Allfunds Bank,Madrid,0011
Andbank España,Madrid,1544
Aresbank,Madrid,0136
Arquia Bank,Madrid,3183
Banca Pueyo,Villanueva de la Serena,0078
Banco Caminos,Madrid,0234
Banco Cetelem,Madrid,0225
Banco de Depósitos,Madrid,0003
Banco Finantia Spain,Madrid,0220
Banco Mediolanum,Valencia,0186
Banco Pichincha España,Madrid,0235
Caja de Ingenieros,Barcelona,3025
Cecabank,Madrid,2000
Creand Wealth Management,Madrid,0188
Deutsche Bank España,Madrid,0019
EBN Banco de Negocios,Madrid,0211
HSBC España,Madrid,0162
ING España,Madrid,1465
Laboral Kutxa,Mondragón,3035
Orange Bank España,Pozuelo de Alarcón,1568
Renta 4 Banco,Madrid,0083
Singular Bank,Madrid,1490
Tomamos impulso,Madrid,0216
Wizink Bank,Madrid,0229
